7	4.654439257002355e15	1.658760921095411e8
7	4.103234873687664e15	4000000*Pi
7	3.9696449859780225e15	8.79645943005142e6
7	3.5520017604743045e15	368000*Pi
7	3.472278091539524e15	363796.42928569805
7	3.3317840557402265e15	142000*Pi
7	3.144543438995024e15	148000*Pi
7	2.862176534449158e15	338000*Pi
7	2.706395930041456e15	30000*Pi
7	2.3837855458997285e15	1080*Pi
7	1.6047223268733252e15	434*Pi
8	4.4977353565158855e15	40000000*Pi
8	3.394696134436775e15	86000*Pi
8	3.15195184060925e15	128000*Pi
8	2.932436737909778e15	288336.06420639507
8	2.754960970889505e15	418000*Pi
8	2.261723229051704e15	71628.31250184728
8	1.425097313414753e15	64*Pi
9	4.4711518604971705e15	2.004336112990288e8
9	4.1135846941732065e15	780000*Pi
9	3.684045735342655e15	344*Pi
9	3.3391773881419135e15	190000*Pi
9	3.1490491335440275e15	24000*Pi
9	3.008634211110556e15	270000*Pi
9	2.5421633464093705e15	11184.069846779663
9	1.8819513834042002e15	106*Pi
